Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Population
2017,cancer,Maryland,10796,151.5,6052177
2017,cancer,Massachusetts,12934,149.3,6859819
2017,cancer,Michigan,20671,161.3,9962311
2017,cancer,Minnesota,9896,146.8,5576606
2017,cancer,Mississippi,6526,183.1,2984100
2017,cancer,Missouri,12971,167.3,6113532
2017,cancer,Montana,2145,152.6,1050493
2017,cancer,Nebraska,3502,152.6,1920076
2017,cancer,Nevada,5283,155.3,2998039
2017,cancer,New Hampshire,2760,153.5,1342795
2017,cancer,New Jersey,16264,144.6,9005644
2017,cancer,New Mexico,3620,138.3,2088070
2017,cancer,New York,34956,141.2,19849399
2017,cancer,North Carolina,19474,157.1,10273419
2017,cancer,North Dakota,1280,142.6,755393
2017,cancer,Ohio,25643,171.2,11658609
2017,cancer,Oklahoma,8203,177.3,3930864
2017,cancer,Oregon,8083,154.2,4142776
2017,cancer,Pennsylvania,28387,161.0,12805537
2017,cancer,Rhode Island,2154,154.2,1059639
2017,cancer,South Carolina,10356,162.7,5024369
2017,cancer,South Dakota,1715,156.9,869666
2017,cancer,Tennessee,14302,173.4,6715984
2017,cancer,Texas,40668,146.5,28304596
2017,cancer,Utah,3161,120.3,3101833
2017,cancer,Vermont,1434,164.5,623657
2017,cancer,Virginia,15064,152.6,8470020
2017,cancer,Washington,12664,148.4,7405743
2017,cancer,West Virginia,4654,179.4,1815857
2017,cancer,Wisconsin,11318,153.2,5795483
2017,cancer,Wyoming,948,136.1,579315
2017,kidney disease,United States,50633,13.0,329791231
2017,kidney disease,Alabama,980,16.5,4874747
2017,kidney disease,Alaska,54,9.9,739795
2017,kidney disease,Arizona,540,6.2,7016270
2017,kidney disease,Arkansas,725,19.7,3004279
2017,kidney disease,California,3887,8.9,39536653
2017,kidney disease,Colorado,503,8.9,5607154
2017,kidney disease,Connecticut,554,11.2,3588184
2017,kidney disease,Delaware,205,16.1,961939
2017,kidney disease,District of Columbia,67,10.0,693972
2017,kidney disease,Florida,3172,10.1,20984400
2017,kidney disease,Georgia,1942,18.6,10429379
2017,kidney disease,Hawaii,208,10.7,1427538
2017,kidney disease,Idaho,170,9.0,1716943
2017,kidney disease,Illinois,2565,16.8,12802023
2017,kidney disease,Indiana,1440,18.5,6666818
2017,kidney disease,Iowa,367,8.8,3145711
2017,kidney disease,Kansas,541,15.0,2913123
2017,kidney disease,Kentucky,1024,19.4,4454189
2017,kidney disease,Louisiana,1076,20.6,4684333
2017,kidney disease,Maine,260,13.0,1335907
2017,kidney disease,Maryland,830,11.9,6052177
2017,kidney disease,Massachusetts,1193,13.4,6859819
2017,kidney disease,Michigan,1874,14.7,9962311
2017,kidney disease,Minnesota,537,7.7,5576606
2017,kidney disease,Mississippi,741,21.7,2984100
2017,kidney disease,Missouri,1515,19.6,6113532
2017,kidney disease,Montana,129,9.2,1050493
2017,kidney disease,Nebraska,226,9.5,1920076
2017,kidney disease,Nevada,299,9.0,2998039
2017,kidney disease,New Hampshire,169,9.4,1342795
2017,kidney disease,New Jersey,1591,13.9,9005644
2017,kidney disease,New Mexico,330,12.9,2088070
2017,kidney disease,New York,2296,9.1,19849399
2017,kidney disease,North Carolina,2040,17.1,10273419
2017,kidney disease,North Dakota,122,12.9,755393
2017,kidney disease,Ohio,2237,15.0,11658609
2017,kidney disease,Oklahoma,461,10.2,3930864
2017,kidney disease,Oregon,377,7.3,4142776
2017,kidney disease,Pennsylvania,2898,15.9,12805537
2017,kidney disease,Rhode Island,176,11.6,1059639
2017,kidney disease,South Carolina,950,15.5,5024369
2017,kidney disease,South Dakota,75,6.8,869666
2017,kidney disease,Tennessee,1140,14.4,6715984
2017,kidney disease,Texas,4256,16.0,28304596
2017,kidney disease,Utah,384,15.4,3101833
2017,kidney disease,Vermont,29,3.3,623657
2017,kidney disease,Virginia,1618,16.9,8470020
2017,kidney disease,Washington,439,5.3,7405743
2017,kidney disease,West Virginia,436,17.1,1815857
2017,kidney disease,Wisconsin,922,12.5,5795483
2017,kidney disease,Wyoming,63,9.5,579315
2016,unintentional injuries,Alabama,2755,55.5,4860545
2016,unintentional injuries,Alaska,439,63.1,741522
2016,unintentional injuries,Arizona,4010,54.2,6908642
2016,unintentional injuries,Arkansas,1604,51.8,2988231
2016,unintentional injuries,California,13213,32.0,39296476
2016,unintentional injuries,Colorado,2880,51.2,5530105
2016,unintentional injuries,Connecticut,1978,50.3,3587685
2016,unintentional injuries,Delaware,516,52.4,952698
2016,unintentional injuries,District of Columbia,401,58.3,684336
2016,unintentional injuries,Florida,12561,54.9,20656589
2016,unintentional injuries,Georgia,4701,45.8,10313620
2016,unintentional injuries,Hawaii,577,35.3,1428683
2016,unintentional injuries,Idaho,849,49.5,1680026
2016,unintentional injuries,Illinois,5508,41.0,12835726
2016,unintentional injuries,Indiana,3496,51.6,6634007
2016,unintentional injuries,Iowa,1608,45.8,3130869
2016,unintentional injuries,Kansas,1444,45.7,2907731
2016,unintentional injuries,Kentucky,3194,71.0,4436113
2016,unintentional injuries,Louisiana,2710,57.4,4686157
2016,unintentional injuries,Maine,909,62.4,1330232
2016,unintentional injuries,Maryland,2271,35.7,6024752
2016,unintentional injuries,Massachusetts,3831,52.8,6823721
2016,unintentional injuries,Michigan,5313,50.5,9933445
2016,unintentional injuries,Minnesota,2697,43.8,5525050
2016,unintentional injuries,Mississippi,1803,59.2,2985415
2016,unintentional injuries,Missouri,3625,57.0,6091176
2016,unintentional injuries,Montana,626,54.1,1038656
2016,unintentional injuries,Nebraska,772,37.0,1907603
2016,unintentional injuries,Nevada,1395,46.0,2939254
2016,unintentional injuries,New Hampshire,924,66.6,1335015
2016,unintentional injuries,New Jersey,3839,40.8,8978416
2016,unintentional injuries,New Mexico,1487,69.5,2085432
2016,unintentional injuries,New York,7354,34.2,19836286
2016,unintentional injuries,North Carolina,5476,52.2,10156689
