State,Year,Spending
Virginia,2013,59376.0
West Virginia,2013,16491.0
Southwest,2013,256312.0
Arizona,2013,41728.0
New Mexico,2013,14015.0
Oklahoma,2013,28193.0
Texas,2013,172375.0
Rocky Mountains,2013,72306.0
Colorado,2013,33544.0
Idaho,2013,10280.0
Montana,2013,7812.0
Utah,2013,16099.0
Wyoming,2013,4571.0
Far West,2013,391717.0
Alaska,2013,7439.0
California,2013,277008.0
Hawaii,2013,9693.0
Nevada,2013,17380.0
Oregon,2013,28953.0
Washington,2013,51245.0
United States,2014,2527325.0
New England,2014,146939.0
Connecticut,2014,35350.0
Maine,2014,12134.0
Massachusetts,2014,70311.0
New Hampshire,2014,12498.0
Rhode Island,2014,10020.0
Vermont,2014,6626.0
Mideast,2014,458170.0
Delaware,2014,9577.0
District of Columbia,2014,7947.0
Maryland,2014,51102.0
New Jersey,2014,79880.0
New York,2014,192710.0
Pennsylvania,2014,116954.0
Great Lakes,2014,380858.0
Illinois,2014,103304.0
Indiana,2014,52752.0
Michigan,2014,79133.0
Ohio,2014,97506.0
Wisconsin,2014,48163.0
Plains,2014,171981.0
Iowa,2014,24782.0
Kansas,2014,21381.0
Minnesota,2014,48633.0
Missouri,2014,47429.0
Nebraska,2014,15368.0
North Dakota,2014,6652.0
South Dakota,2014,7735.0
Southeast,2014,609971.0
Alabama,2014,35248.0
Arkansas,2014,21624.0
Florida,2014,158144.0
Georgia,2014,66692.0
Kentucky,2014,35183.0
Louisiana,2014,36493.0
Mississippi,2014,22439.0
North Carolina,2014,71488.0
South Carolina,2014,34800.0
Tennessee,2014,48548.0
Virginia,2014,61943.0
West Virginia,2014,17368.0
Southwest,2014,272547.0
Arizona,2014,44177.0
New Mexico,2014,14653.0
Oklahoma,2014,29706.0
Texas,2014,184011.0
Rocky Mountains,2014,76615.0
Colorado,2014,35757.0
Idaho,2014,10797.0
Montana,2014,8122.0
Utah,2014,17117.0
Wyoming,2014,4822.0
Far West,2014,410245.0
Alaska,2014,7765.0
California,2014,288330.0
Hawaii,2014,10225.0
Nevada,2014,18951.0
Oregon,2014,31323.0
Washington,2014,53652.0
United States,2015,2674089.0
New England,2015,154957.0
Connecticut,2015,36941.0
Maine,2015,12747.0
Massachusetts,2015,74842.0
New Hampshire,2015,13057.0
Rhode Island,2015,10478.0
Vermont,2015,6890.0
Mideast,2015,481439.0
Delaware,2015,10093.0
District of Columbia,2015,8463.0
Maryland,2015,53905.0
New Jersey,2015,84116.0
New York,2015,202568.0
Pennsylvania,2015,122294.0
Great Lakes,2015,396851.0
Illinois,2015,106736.0
Indiana,2015,55323.0
Michigan,2015,83173.0
Ohio,2015,101747.0
Wisconsin,2015,49871.0
Plains,2015,180290.0
Iowa,2015,26100.0
Kansas,2015,22221.0
Minnesota,2015,50251.0
Missouri,2015,50190.0
Nebraska,2015,16231.0
North Dakota,2015,7070.0
South Dakota,2015,8228.0
Southeast,2015,645801.0
Alabama,2015,37172.0
Arkansas,2015,22706.0
Florida,2015,168417.0
Georgia,2015,71845.0
Kentucky,2015,36787.0
Louisiana,2015,38275.0
Mississippi,2015,23256.0
North Carolina,2015,76223.0
South Carolina,2015,36456.0
Tennessee,2015,51481.0
Virginia,2015,64847.0
West Virginia,2015,18335.0
Southwest,2015,291699.0
Arizona,2015,47043.0
New Mexico,2015,15505.0
Oklahoma,2015,30900.0
Texas,2015,198251.0
Rocky Mountains,2015,81815.0
Colorado,2015,38589.0
Idaho,2015,11308.0
Montana,2015,8607.0
Utah,2015,18237.0
Wyoming,2015,5074.0
Far West,2015,441238.0
Alaska,2015,8462.0
California,2015,311146.0
Hawaii,2015,11025.0
Nevada,2015,20043.0
Oregon,2015,33909.0
Washington,2015,56652.0
United States,2016,2795322.0
New England,2016,161532.0
Connecticut,2016,38322.0
Maine,2016,13347.0
Massachusetts,2016,78446.0
New Hampshire,2016,13648.0
Rhode Island,2016,10747.0
Vermont,2016,7022.0
Mideast,2016,505965.0
Delaware,2016,10386.0
District of Columbia,2016,8836.0
Maryland,2016,55993.0
New Jersey,2016,88551.0
New York,2016,214568.0
Pennsylvania,2016,127630.0
Great Lakes,2016,411931.0
Illinois,2016,110651.0
Indiana,2016,58251.0
Michigan,2016,86674.0
Ohio,2016,105481.0
Wisconsin,2016,50874.0
Plains,2016,187565.0
Iowa,2016,26519.0
